,,,,TI210513A1,TI210511A,TI210504A,TI210520A2,TI210520A3,H207812,H207821,H207832,H207834,H207836,H207840
,,,,2021-05-13,2021-05-11,2021-05-04,2021-05-20,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-19,2021-06-24,2021-07-01
,,,,2021-05-26,2021-05-28,2021-05-31,2021-06-02,2021-06-04,2021-06-11,2021-06-18,2021-06-25,2021-07-02,2021-07-09,2021-07-16
013CH1070-17C SP/198,INCOON,5,0,,,,,,,,,,,,,,,
014CH1069-02B,INCOON,1,1,,,,,,,,,,,,,,,
014CH1069-03B,INCOON,6,2,,,,,,,,,,,,,,,
014CH1069-59B,INCOON,4,2,,,,,,,,,,,,,,,
014CH1070-03B,INCOON,9,6,,,,,,,,,,,,,,,
014CH1070-03LB,INCOON,8,11,,,,,,,,,,,,,,,
014CH1070-17B,INCOON,1,15,,,,,,,,,,,,,,,
014CH1071LEG-NA,INCOON,80,0,,,,,,,,,,,,,,,
CH1068-STEELLEG BL,INCOON,0,0,,,,,,,,,,,,,,,
CH1069-03 SP/172,INCOON,0,0,,,,,,,,,,,,,,,
CH1069-59 SP/172,INCOON,0,0,,,,,,,,,,,,,,,
CH1069-03 SP/176,INCOON,0,0,,,,,,,,,,,,,,,
CH1069-59 SP/176,INCOON,0,0,,,,,,,,,,,,,,,
CH1069-03 SP/178,INCOON,0,0,,,,,,,,,,,,,,,
CH1069-59 SP/178,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-17 SP/172,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-17 SP/176,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-17 SP/178,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-03L SP/180,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-17 SP/180,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-03L SP/182,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-17 SP/182,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-03L SP/183,INCOON,0,0,,,,,,,,,,,,,,,
CH1070-17 SP/183,INCOON,0,0,,,,,,,,,,,,,,,
CH1071E-03SET DB SN/01,INCOON,7,3,,,,,,,,,,,,,,,
