238,2019-12-19,H207620,Vessel,Nagoya Port,The address listed above,2020-01-09,To Hukla Japan/Nanno ,2020-01-18
239,2019-12-20,H207621,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2019-12-26,For Hukla Japan/Nanno Fac.,2020-01-08
240,2019-12-20,H207622,Vessel,NAGOYA Port,The address listed above,2020-03-05,To Fujiei NAGOYA Direct ,--
241,2019-12-24,H207623,Vessel,Nagoya Port,The address listed above,2020-03-12,To Hukla Japan/Nanno ,2020-03-25
242,2020-01-07,H207624,Vessel,Nagoya Port,The address listed above,2020-03-19,To Hukla Japan/Nanno ,2020-03-30
243,2020-01-07,H207625,Vessel,Nagoya Port,The address listed above,2020-03-21,To Hukla Japan/Nanno ,2020-04-01
244,2020-01-07,H207626,Vessel,Nagoya Port,The address listed above,2020-03-26,To Hukla Japan/Nanno ,2020-04-08
245,2020-01-08,H207627,Vessel,HAKATA Port,The address listed above,2020-02-22,To NIC Hakata Direct,
246,2020-01-09,H207628,Vessel,Nagoya Port,The address listed above,2020-02-08,To Hukla Japan/Nanno ,--
247,2020-01-10,H207629,DHL(Courier), Air-port,Hukla Japan Inc. Fukuoka Branch,2020-01-17,For Hukla Japan.,
248,2020-01-17,H207630,Vessel,HAKATA Port,The address listed above,2020-02-29,To Fukuhaku Direct,
249,2020-01-22,H207631,DHL(Courier), Air-port,Hukla Japan Inc. Osaka Branch,2020-02-07,For Hukla Japan.,
250,2020-02-07,H207632,Vessel,Nagoya Port,The address listed above,2020-04-02,To Hukla Japan/Nanno ,2020-04-15
251,2020-02-07,H207633,Vessel,NAGOYA Port,The address listed above,2020-04-02,To Fujikoshi NAGOYA Direct,
252,2020-02-11,H207634,Vessel,Nagoya Port,The address listed above,2020-04-04,To Hukla Japan/Nanno ,2020-04-17
253,2020-02-20,H207635,Vessel,Nagoya Port,The address listed above,2020-04-11,To Hukla Japan/Nanno ,2020-04-22
254,2020-02-20,H207636,Vessel,OSAKA Port,The address listed above,2020-03-26,To Fujishi Osaka Direct,
255,2020-02-26,H207637,Vessel,Nagoya Port,The address listed above,2020-04-16,To Hukla Japan/Nanno ,2020-04-27
256,2020-02-26,H207638,Vessel,Nagoya Port,The address listed above,2020-04-02,To Hukla Japan/Nanno ,
257,2020-02-28,H207639,Vessel,Nagoya Port,The address listed above,2020-02-28,To Hukla Japan/Nanno ,
259,2020-03-03,H207641,Vessel,Nagoya Port,The address listed above,2020-04-18,To Hukla Japan/Nanno ,2020-04-29
260,2020-03-10,H207643,Vessel,Nagoya Port,The address listed above,2020-04-21,To Hukla Japan/Nanno ,2020-05-01
261,2020-03-11,H207644,Vessel,Nagoya Port,The address listed above,2020-04-16,To Hukla Japan/Nanno ,
262,2020-03-17,H207645,Vessel,Nagoya Port,The address listed above,2020-04-25,To Hukla Japan/Nanno ,2020-05-11
263,2020-03-24,H207646,Vessel,Nagoya Port,The address listed above,2020-04-30,To Hukla Japan/Nanno ,2020-05-13
264,2020-03-24,H207647,DHL(Courier),NAGOYA air-port,Hukla Japan Inc. / Nanno Factory,2020-03-24,For Hukla Japan/Nanno Fac.,
265,2020-03-30,H207648,Vessel,MOJI Port,The address listed above,2020-05-02,To NAFCO Moji Direct,
266,2020-03-30,H207649,Vessel,MOJI Port,The address listed above,2020-05-02,To NAFCO Moji Direct,
